sep_index,pp_index,cdaw_sep_id,timestamp,cdaw_start_time,cdaw_max_time,cdaw_evn_max,cme_id,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,fl_id,fl_start_time,fl_peak_time,fl_rise_time,fl_lon,fl_lat,fl_goes_class,noaa_ar,noaa_ar_uncertain,harpnum,noaa_pf10MeV,ppf_gt10MeV,ppf_gt30MeV,ppf_gt60MeV,ppf_gt100MeV,fluence_gt10MeV,fluence_gt30MeV,fluence_gt60MeV,fluence_gt100MeV,gsep_pf_gt10MeV,gsep_max_time,gsep_fluence_gt10MeV,m_type2_onset_time,dh_type2_onset_time,start_fr,noaa-sep_flag,Inst_category,Comments,Notes,Fe_e_p_shock_notes,gsep_notes,slice_start,slice_end,Flag
gsep_028,psep_038,,4/11/1989 15:55,,,,,,,,,,,,4/9/1989 0:44,4/9/1989 0:59,15,-29,35,X3.5,5441,FALSE,,450,177.27,5,,,13900000,612000,,,218,4/12/1989 0:05,190260142,,,,1,P,,,,AR from LMSAL-HEK,4/11/1989 3:55,4/15/1989 1:00,1
gsep_028_1,,,4/22/1989 5:05,,,,,,,,,,,,4/22/1989 3:32,4/22/1989 3:34,2,12,38,M1.2,5451,FALSE,,,,,,,,,,,6.27,4/23/1989 10:15,3303755,,,,0,P,,,,Flare data from LMSAL-HEK,4/21/1989 17:05,4/24/1989 7:05,0
gsep_029,psep_039,,5/2/1989 16:50,,,,,,,,,,,,5/2/1989 16:04,5/2/1989 16:35,31,-38,27,M1.4,5470,FALSE,,,3.13,,,,364000,,,,3.01,5/2/1989 18:20,1807606,,,,0,P,,,,AR from LMSAL-HEK,5/2/1989 4:50,5/3/1989 16:50,0
gsep_030,psep_040,,5/5/1989 8:35,,,,,,,,,,,,5/4/1989 11:06,5/4/1989 11:31,25,36,-20,M5.4,5464,FALSE,,27,9.78,,,,349000,,,,9.66,5/5/1989 10:40,3412712,,,,1,P,,,,AR from LMSAL-HEK,5/4/1989 20:35,5/5/1989 20:15,0
gsep_031,psep_041,,5/6/1989 6:25,,,,,,,,,,,,5/5/1989 7:23,5/5/1989 7:39,16,-1,30,X2.4,5470,FALSE,,110,41.15,,,,987000,,,,47.3,5/6/1989 10:55,15033124,,,,1,P,,,,AR from LMSAL-HEK,5/5/1989 18:25,5/6/1989 22:20,1
gsep_032,psep_042,,5/7/1989 5:10,,,,,,,,,,,,5/6/1989 16:55,5/6/1989 17:02,7,-59,31,M4.2,5476,FALSE,,,18.29,,,,1390000,,,,17.5,5/7/1989 13:50,8889111,,,,0,P,Very complex ,,,AR from LMSAL-HEK; Data corrected for spike,5/6/1989 17:10,5/8/1989 3:20,1
gsep_032_1,,,5/20/1989 11:15,,,,,,,,,,,,5/20/1989 9:19,5/20/1989 9:24,5,-15,-21,C1.9,5497,FALSE,,,,,,,,,,,2.58,5/20/1989 21:30,1427970,,,,0,S,,,,Flare data from LMSAL-HEK,5/19/1989 23:15,5/22/1989 6:20,0
gsep_033,psep_043,,5/22/1989 18:30,,,,,,,,,,,,5/22/1989 0:02,5/22/1989 0:24,22,-16,-21,M5.7,5497,FALSE,,15,25.97,1.27,0.63,0.35,1940000,429000,228000,133000,10.9,5/23/1989 13:45,6533290,,,,1,S,,,,AR from LMSAL-HEK; Data corrected for spike,5/22/1989 6:30,5/25/1989 12:05,0
gsep_033_1,,,6/14/1989 11:10,,,,,,,,,,,,6/13/1989 13:26,6/13/1989 13:27,1,-17,20,M1.3,5528,FALSE,,,,,,,,,,,0.578,6/15/1989 16:00,176693,,,,0,P,,,,Flare data from LMSAL-HEK,6/13/1989 23:10,6/15/1989 22:20,0
gsep_034,psep_044,,6/18/1989 17:05,,,,,,,,,,,,6/18/1989 16:19,6/18/1989 16:22,3,57,15,C6.8,5528,FALSE,,18,9.24,2.78,0.92,0.39,265000,115000,61900,35200,10.8,6/18/1989 20:25,2254671,,,,1,P,,,,AR from LMSAL-HEK,6/18/1989 5:05,6/19/1989 0:00,1
