run_id,proximity_weight,sparsity_weight,diversity_weight,l0_penalty_weight,ordering_penalty,proximity,sparsity,diversity_mean_pairwise_l1,diversity_stddev
228,1.0,0.1,5,100,100,920.6680548314588,928.0,3.2302075177887817,2.128165307729998
229,1.0,0.1,10,0,1,917.5975465500428,928.0,4.598627591640281,1.772816923915903
230,1.0,0.1,10,0,10,924.2193622672552,928.0,1.8429254397191803,1.2569411659329492
231,1.0,0.1,10,0,100,924.741783383601,928.0,1.876519290830379,0.9704566234065916
232,1.0,0.1,10,1,1,919.4494265385224,928.0,4.676424232602302,1.6309637250885995
233,1.0,0.1,10,1,10,923.9488889356338,928.0,1.9476493035200169,0.8271606503855836
234,1.0,0.1,10,1,100,923.1013168989582,928.0,1.6997100144964217,0.8157864859295111
235,1.0,0.1,10,10,1,921.1420585029576,928.0,3.0768361708525687,1.4028331886636145
236,1.0,0.1,10,10,10,924.0249767810186,928.0,1.5308792335676262,1.2241499843812331
237,1.0,0.1,10,10,100,916.9158667162168,928.0,5.312993543410608,2.7448125807441253
238,1.0,0.1,10,100,1,920.8846390144192,928.0,3.0529067217741,1.5327283322829002
239,1.0,0.1,10,100,10,621.038799247757,927.8,230.9320250320927,37.93686992144816
240,1.0,0.1,10,100,100,922.5635643849542,928.0,2.1777777777777776,0.708327886689299
241,1.0,1.0,0,0,1,922.1536948540648,928.0,2.818913591657991,1.1788243107255971
242,1.0,1.0,0,0,10,635.360239631304,927.9,220.0599489388347,31.43599578901877
243,1.0,1.0,0,0,100,919.528876222348,928.0,3.131074263073784,1.75066548253642
244,1.0,1.0,0,1,1,654.1081348447963,928.0,213.9976263971964,35.81368723289338
245,1.0,1.0,0,1,10,920.2891973660938,928.0,3.372484381900964,1.7145098471142957
246,1.0,1.0,0,1,100,648.3733108853968,927.2,221.0383554532229,24.175029646405747
247,1.0,1.0,0,10,1,650.5260851670525,927.6,222.66342971360217,35.949869609410364
248,1.0,1.0,0,10,10,922.0769502411335,928.0,2.3714820219490176,1.1008225784890315
249,1.0,1.0,0,10,100,618.594917019587,927.5,226.1252100100697,34.86424247672608
250,1.0,1.0,0,100,1,920.0859061141998,928.0,4.93319426166254,1.355717864067021
251,1.0,1.0,0,100,10,922.2412947754386,928.0,2.025283608680464,1.1068790454665516
