sep_index,cme_launch_time,cme_1st_app_time,lasco_cme_width,p_cme_width,lasco_linear_speed,p_cme_speed,ppf_gt10MeV,fl_rise_time,fl_lon,fl_lat,fl_goes_class,fluence_gt10MeV,gsep_fluence_gt10MeV,gsep_pf_gt10MeV,cme_fl_interval,fl_start_time,fl_peak_time,fl_cme_launch_interval,fl_cme_peak_interval,GOES_X_ray_flux_value
gsep_201,2001-10-22 14:39:00,2001-10-22 15:06:00,360.0,360.0,1336.0,1336.0,20.59,41.0,-18.0,-21.0,M6.7,1520000.0,5765061,24.2,27.0,2001-10-22 14:27:00,2001-10-22 15:08:00,-12.0,29.0,6.7e-05
gsep_202,2001-11-04 16:05:00,2001-11-04 16:35:00,360.0,360.0,1810.0,1810.0,23895.46,17.0,18.0,6.0,X1.0,914000000.0,12345664808,39900.0,30.0,2001-11-04 16:03:00,2001-11-04 16:20:00,-2.0,15.0,0.0001
gsep_203,2001-11-17 04:40:00,2001-11-17 05:30:00,360.0,360.0,1379.0,1379.0,22.83,36.0,-42.0,-13.0,M2.8,2370000.0,21698440,34.5,50.0,2001-11-17 04:49:00,2001-11-17 05:25:00,9.0,45.0,2.8e-05
gsep_205,2001-11-22 22:48:00,2001-11-22 23:30:00,360.0,360.0,1443.0,1443.0,13285.65,58.0,34.0,-15.0,M9.9,457000000.0,5515515402,21400.0,42.0,2001-11-22 22:32:00,2001-11-22 23:30:00,-16.0,42.0,9.900000000000001e-05
gsep_206,2001-12-11 09:36:00,2001-12-11 09:54:00,121.0,121.0,891.0,891.0,2.42,10.0,-41.0,16.0,X2.8,214000.0,630444,1.8,18.0,2001-12-11 07:58:00,2001-12-11 08:08:00,-98.0,-88.0,0.00028
gsep_207,2001-12-26 04:57:00,2001-12-26 05:30:00,212.0,212.0,1446.0,1446.0,615.04,68.0,54.0,8.0,M7.1,23100000.0,336965971,780.0,33.0,2001-12-26 04:32:00,2001-12-26 05:40:00,-25.0,43.0,7.1e-05
gsep_208,2001-12-28 20:01:00,2001-12-28 20:30:00,360.0,120.0,2216.0,2216.0,54.9,43.0,-100.0,-23.0,X3.4,1840000.0,19082310,76.2,29.0,2001-12-28 20:02:00,2001-12-28 20:45:00,1.0,44.0,0.00034
gsep_211,2002-01-14 05:25:00,2002-01-14 05:35:00,360.0,360.0,1492.0,1492.0,12.22,58.0,116.0,-18.0,M4.4,2270000.0,13803831,15.4,10.0,2002-01-14 05:29:00,2002-01-14 06:27:00,4.0,62.0,4.4000000000000006e-05
gsep_214,2002-03-15 22:10:00,2002-03-15 23:06:00,360.0,360.0,957.0,957.0,38.94,61.0,3.0,-8.0,M2.2,3170000.0,5427579,13.4,56.0,2002-03-15 22:09:00,2002-03-15 23:10:00,-1.0,60.0,2.2000000000000003e-05
gsep_217,2002-03-22 10:45:00,2002-03-22 11:06:00,360.0,130.0,1750.0,1750.0,12.21,62.0,92.0,-9.0,M1.6,942000.0,10569545,16.2,21.0,2002-03-22 10:12:00,2002-03-22 11:14:00,-33.0,29.0,1.6000000000000003e-05
gsep_218,2002-04-17 07:50:00,2002-04-17 08:26:00,360.0,360.0,1240.0,1240.0,18.58,38.0,34.0,-14.0,M2.6,1060000.0,7952477,24.1,36.0,2002-04-17 07:46:00,2002-04-17 08:24:00,-4.0,34.0,2.6000000000000002e-05
gsep_219,2002-04-21 01:11:00,2002-04-21 01:27:00,360.0,360.0,2393.0,2393.0,1822.47,68.0,84.0,-14.0,X1.5,177000000.0,2716682445,2520.0,16.0,2002-04-21 00:43:00,2002-04-21 01:51:00,-28.0,40.0,0.00015000000000000001
gsep_220,2002-05-22 03:15:00,2002-05-22 03:50:00,120.0,120.0,1557.0,1557.0,574.35,36.0,53.0,-22.0,C5.0,6480000.0,96060353,820.0,35.0,2002-05-22 03:18:00,2002-05-22 03:54:00,3.0,39.0,4.9999999999999996e-06
gsep_221,2002-07-07 10:56:00,2002-07-07 11:30:00,228.0,85.0,1423.0,1423.0,17.26,28.0,109.0,-18.0,M1.0,1500000.0,9245029,22.6,34.0,2002-07-07 11:15:00,2002-07-07 11:43:00,19.0,47.0,1e-05
